,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,115,61297.458984375,58425.152,95268.15,210187.72,1.25,0.15,0.3,5.2255173,8.23978,9.388567,3.5486333,4.036376,4.7993555
0,116,53356.86328125,58315.684,95298.5,210352.72,1.2333333333333334,0.15,0.3,4.9751067,7.867789,8.93671,3.504,3.9882321,4.7211003
0,117,57245.673828125,58169.02,95263.38,210496.9,1.25,0.15,0.3,4.875537,7.7213883,8.751707,3.4963038,3.9817853,4.698097
0,118,58608.583984375,57904.723,95075.95,210511.9,1.25,0.2,0.3,4.9133606,7.7800837,8.808016,3.5202851,4.0095587,4.7227373
0,119,54001.12109375,57515.617,94723.05,210395.08,1.2666666666666666,0.2,0.3,5.182016,8.180925,9.27053,3.5990074,4.097499,4.830816
0,120,55017.54296875,57265.277,94499.08,210446.97,1.2833333333333334,0.2,0.3,5.409201,8.520356,9.658952,3.6681542,4.176211,4.9239383
0,121,55268.373046875,57061.69,94354.0,210526.88,1.2833333333333334,0.2,0.3,5.507011,8.666681,9.820465,3.7075546,4.222432,4.973133
0,122,55146.099609375,56818.465,94212.39,210533.12,1.2833333333333334,0.25,0.3,5.449323,8.580647,9.70842,3.7104275,4.2282305,4.9677258
0,123,57004.86328125,56582.434,94099.15,210543.08,1.3,0.25,0.3,5.3831487,8.4808445,9.582726,3.712742,4.234316,4.9625325
0,124,56742.2421875,56366.176,94014.24,210561.05,1.3,0.25,0.3,5.252692,8.287815,9.346525,3.700701,4.224181,4.935744
0,125,50073.154296875,56161.223,93926.67,210604.95,1.3,0.25,0.3,5.1856627,8.189794,9.2220745,3.7031374,4.2297935,4.930436
0,126,51663.234375,55919.793,93770.336,210613.05,1.3333333333333333,0.25,0.3,5.315918,8.384341,9.445806,3.7522807,4.2859955,4.996681
0,127,52383.798828125,55703.977,93675.12,210637.17,1.3333333333333333,0.25,0.3,5.3589706,8.448305,9.517481,3.7824044,4.322242,5.035022
0,128,57155.7890625,55486.293,93583.5,210669.83,1.3333333333333333,0.25,0.3,5.3331237,8.408406,9.464209,3.7942479,4.339401,5.044885
0,129,55523.080078125,55274.633,93506.76,210722.22,1.35,0.25,0.3,5.2490172,8.279634,9.305183,3.79153,4.3419886,5.032019
0,130,53007.330078125,55069.11,93444.56,210792.0,1.35,0.25,0.3,5.1865687,8.181174,9.183876,3.7949147,4.351864,5.02896
0,131,53134.55859375,54873.45,93394.11,210870.42,1.35,0.25,0.3,5.1227355,8.081669,9.06219,3.7996683,4.363122,5.0280657
0,132,57252.8671875,54627.457,93248.4,210876.72,1.35,0.25,0.3,5.2047076,8.200711,9.19893,3.8393672,4.4105616,5.0807357
0,133,57508.37890625,54394.75,93113.46,210905.22,1.3666666666666667,0.3,0.3,5.3427596,8.404003,9.435434,3.89182,4.470542,5.152976
0,134,56889.0625,54200.06,92997.83,210994.3,1.3833333333333333,0.3,0.3,5.480284,8.607765,9.669313,3.9423459,4.5280952,5.2208667
0,135,55708.306640625,54002.69,92907.266,211084.25,1.3833333333333333,0.3,0.3,5.539873,8.69394,9.765032,3.9747565,4.5669127,5.261195
0,136,49841.4716796875,53767.426,92841.766,211132.7,1.4,0.3,0.3,5.495479,8.623209,9.67878,3.9839096,4.5810084,5.2664294
0,137,50323.888671875,53551.082,92790.84,211217.38,1.4,0.3,0.3,5.497594,8.622899,9.675751,4.003711,4.605918,5.2875257
0,138,51065.4150390625,53324.46,92745.8,211278.4,1.4,0.3,0.3,5.4651246,8.567482,9.610961,4.017282,4.626176,5.3004627
0,139,50732.697265625,53084.81,92742.7,211331.72,1.4166666666666667,0.3,0.3,5.2939982,8.303248,9.301277,4.000056,4.615184,5.266486
0,140,51089.521484375,52891.83,92763.086,211438.5,1.4166666666666667,0.3,0.25,5.156242,8.09018,9.050583,3.9909856,4.6131806,5.2448926
0,141,57837.109375,52695.574,92749.484,211545.05,1.4166666666666667,0.3,0.25,5.099522,7.99843,8.94204,3.9996958,4.6294756,5.250123
0,142,55165.28125,52457.207,92642.23,211590.4,1.4166666666666667,0.3,0.25,5.160768,8.082683,9.040408,4.0345163,4.6726723,5.2954683
0,143,55907.220703125,52226.465,92491.06,211621.95,1.45,0.3,0.25,5.344573,8.35005,9.35467,4.0964603,4.7438345,5.3829565
0,144,52524.7578125,52047.684,92393.12,211724.16,1.45,0.3,0.25,5.486462,8.556801,9.595258,4.1481752,4.803824,5.4537683
0,145,51782.6953125,51800.066,92336.984,211796.0,1.45,0.3,0.25,5.335375,8.323475,9.315162,4.1310854,4.7925973,5.41821
0,146,51649.05078125,51601.793,92307.55,211941.4,1.4666666666666666,0.3,0.25,5.1733027,8.076391,9.015022,4.110666,4.778104,5.3759027
0,147,48852.03515625,51380.45,92178.305,212007.88,1.4666666666666666,0.35000000000000003,0.25,5.230895,8.159558,9.105103,4.140454,4.81388,5.412037
0,148,52392.212890625,51188.637,92021.0,212096.7,1.4666666666666666,0.35000000000000003,0.25,5.44442,8.473385,9.467424,4.203494,4.8835506,5.4990454
0,149,52683.2890625,51032.742,91946.9,212242.6,1.4666666666666666,0.35000000000000003,0.25,5.567577,8.653669,9.67354,4.2479258,4.9337473,5.5572925
0,150,49783.17578125,50822.242,91850.27,212342.3,1.4833333333333334,0.35000000000000003,0.25,5.564676,8.650629,9.660003,4.263704,4.9523907,5.5699553
0,151,49533.17578125,50563.867,91753.625,212418.38,1.4833333333333334,0.35000000000000003,0.25,5.4500246,8.480207,9.44821,4.25381,4.944648,5.541772
